SKU,Processor,vCPUs (Qty.),Memory (GB),Max Temp Storage Disks (Qty.),Temp Disk Size (GiB),Temp Disk Random Read (RR)1 IOPS,Temp Disk Random Read (RR)1 Throughput (MB/s),Temp Disk Random Write (RW)1 IOPS,Temp Disk Random Write (RW)1 Throughput (MB/s),Max Remote Storage Disks (Qty.),Uncached Premium SSD IOPS,Uncached Premium SSD Throughput (MB/s),Uncached Premium SSD Burst1 IOPS,Uncached Premium SSD Burst1 Throughput (MB/s),Uncached Ultra Disk and Premium SSD v2 IOPS,Uncached Ultra Disk and Premium SSD v2 Throughput (MB/s),Uncached Burst1 Ultra Disk and Premium SSD v2 IOPS,Uncached Burst1 Ultra Disk and Premium SSD v2 Throughput (MB/s),Max NICs (Qty.),Max Network Bandwidth (Mb/s),Premium Storage,Premium Storage caching,Live Migration,Memory Preserving Updates,Generation 2 VMs,Generation 1 VMs,Accelerated Networking,Ephemeral OS Disk,Temporary local NVMe disks,Nested Virtualization,NVMe storage,Constrained core,Accelerators (Qty.),Accelerator-Memory (GB),Temp Disk Random Read (RR)1 Throughput (MBps),Temp Disk Random Write (RW)1 Throughput (MBps),Max Network Bandwidth (Mbps),VM Generation Support,Ephemeral OS Disks,Base CPU Performance of VM (%)1,Initial Credits (Qty.),Credits banked/hour (Qty.),Max Banked Credits (Qty.),Uncached Premium SSD Throughput (MBps),Uncached Premium SSD Burst1 Throughput (MBps),Local temporary storage,Temp Disk Size (GiB)1,Temp Disk Random Read (RR)2 IOPS3,Temp Disk Random Read (RR)2 Throughput (MBps)3,Uncached Ultra Disk and Premium SSD v2 Throughput (MBps),Uncached Burst1 Ultra Disk and Premium SSD v2 Throughput (MBps),Azure Disk Encryption for Linux VMs,Azure Disk Encryption for Windows VMs,"Temp Disk Random Read (RR)1,2 IOPS3","Temp Disk Random Read (RR)1,2 Throughput (MBps)3",Trusted Launch,Cores (Qty.),EPC Memory (GiB),Temp Disk Random Read (RR) IOPS,Temp Disk Random Read (RR) Throughput (MBps),EPC Memory (MiB),Accelerated Networking1,Temp Disk Random Write (RW)2 IOPS3,Temp Disk Random Write (RW)2 Throughput (MBps)3,Uncached Burst1  Ultra Disk and Premium SSD v2 IOPS,Uncached Burst1  Ultra Disk and Premium SSD v2 Throughput (MBps),Memory (GiB),Temp Disk Random Read1 IOPS,Temp Disk Sequential Read 1 Throughput (MBps),Temp Disk Random Write 1 IOPS,Temp Disk Sequential Write1 Throughput (MBps),Max Temp Storage (Qty.),Temp Storage Size (GiB),Temp ReadWrite Storage IOPS,Temp ReadWrite Storage Speed (MBps),Max Remote Storage (Qty.),Uncached Storage IOPS,Uncached Storage Speed (MBps),Uncached Storage Burst1 IOPS,Uncached Storage Burst1 Speed (MBps),Temp Disk Sequential Read1 Throughput (MBps),Temp Disk Random Write1 IOPS,Disk Cache Size (GiB),Cached Disk Random Read (RR)1 IOPS,Cached Disk Random Read (RR)1 Throughput (MBps),Accelerator Memory (GB),Hibernation,Uncached Disk IOPS,Uncached Disk Speed (MBps),Max Bandwidth (Mbps),Temp Disk Size (TB),Max Front-end NICs (Qty.),Max Front-end Bandwidth (Mbps),Max Scale-up NICS (Qty.),Max Scale-Up Bandwidth (Gbps)1,Max Scale-out NICS (Qty.),Max Scale-Out Bandwidth (TBps)2,Max Scale-Up Bandwidth (TBps)1,Max Scale-Out Bandwidth (Gbps)2,Max NVMe Disks (Qty.),NVMe Disk Size (TiB),Infiniband,NVMe Disk Size (GiB),L3 Cache (MB),Memory Bandwidth (GB/s),Base CPU Frequency (GHz),Single-core Frequency Peak (GHz),All-core Frequency Peak (GHz),Local Solid State Disks (Qty.),Local Solid State Disk Size (GiB),Backend NICs (Qty.),RDMA Performance (Gb/s),Backend Network,L3 Cache (GB),Memory Bandwidth (TB/s),Temp Disk Random Read (RR)2 Throughput (MB/s)3,Temp Disk Random Write (RW)2 Throughput (MB/s)3,Temp Disk Random Read (RR)1 IOPS,Temp Disk Random Read (RR)1 Throughput (MB/s),Temp Disk Random Write (RW)1 IOPS,Temp Disk Random Write (RW)1 Throughput (MB/s),Max Temp Disk Random Read (RR)1 IOPS,Max Temp Disk Random Read (RR)1 Throughput (MB/s),Max Temp Disk Cache Size (GiB),Max Temp Disk Burst2 IOPS,Max Temp Disk Burst2 Throughput (MB/s),Max Uncached Premium SSD IOPS,Max Uncached Premium SSD Throughput (MB/s),Max Uncached Premium SSD Burst1 IOPS,Max Uncached Premium SSD Burst1 Throughput (MB/s),Write Accelerator,Max Uncached Ultra Disk and Premium SSD v2 IOPS,Max Uncached Ultra Disk and Premium SSD v2 Throughput (MB/s),Max Temp Disk Sequential Read (SR)1 IOPS,Max Temp Disk Sequential Read (SR)1 Throughput (MB/s),Temp Disk Size (GB),Temp Disk Sequential Read1 Throughput (MB/s),Temp Disk Sequential Write1 Throughput (MB/s)
Standard_D2als_v7,AMD EPYC 9005 (Turin) [x86-64],2,4,,,,,,,10,"4,000",,"44,000",,"4,400",,"48,400",,2,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"16,000",,,,,,,118,"1,412",,,,,136,"1,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D4als_v7,AMD EPYC 9005 (Turin) [x86-64],4,8,,,,,,,12,"8,000",,"47,200",,"8,800",,"52,083",,2,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"16,000",,,,,,,234,"1,412",,,,,273,"1,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D8als_v7,AMD EPYC 9005 (Turin) [x86-64],8,16,,,,,,,26,"16,000",,"47,200",,"17,600",,"52,083",,4,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"25,000",,,,,,,468,"1,412",,,,,547,"1,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D16als_v7,AMD EPYC 9005 (Turin) [x86-64],16,32,,,,,,,48,"32,000",,"72,700",,"35,200",,"80,000",,8,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"25,000",,,,,,,936,"1,412",,,,,"1,095","1,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D32als_v7,AMD EPYC 9005 (Turin) [x86-64],32,64,,,,,,,64,"64,000",,"94,400",,"70,400",,"104,167",,8,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"25,000",,,,,,,"1,872",1916,,,,,"2,191","2,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D48als_v7,AMD EPYC 9005 (Turin) [x86-64],48,96,,,,,,,64,"96,000",,"99,000",,"105,600",,"108,900",,8,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"35,000",,,,,,,"2,808","2,874",,,,,"3,291","3,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D64als_v7,AMD EPYC 9005 (Turin) [x86-64],64,128,,,,,,,64,"128,000",,"132,000",,"140,800",,"145,200",,8,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"45,000",,,,,,,"3,744","3,832",,,,,"4,382","4,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D96als_v7,AMD EPYC 9005 (Turin) [x86-64],96,192,,,,,,,64,"192,000",,"192,500",,"211,200",,"211,750",,8,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"70,000",,,,,,,"5,663","5,749",,,,,"6,573","6,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D128als_v7,AMD EPYC 9005 (Turin) [x86-64],128,256,,,,,,,64,"204,800",,"225,280",,"281,600",,"310,886",,15,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"75,000",,,,,,,"7,488","7,663",,,,,"8,764","8,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D160als_v7,AMD EPYC 9005 (Turin) [x86-64],160,320,,,,,,,64,"212,000",,"242,640",,"310,000",,"355,443",,15,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"80,000",,,,,,,"10,344","11,410",,,,,"10,356","11,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D2as_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Genoa) [x86-64],2,8,4,16,"4,000",,"4,000",,4,"3,200",,"4,000",,,,,,2,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,32,100,2000,,,,,,,48,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D4as_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Genoa) [x86-64],4,16,8,32,"8,000",,"8,000",,8,"6,400",,"8,000",,,,,,2,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,64,200,"4,000",,,,,,,96,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D8as_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Genoa) [x86-64],8,32,16,64,"16,000",,"16,000",,16,"12,800",,"16,000",,,,,,4,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,128,400,"8,000",,,,,,,192,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D16as_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Genoa) [x86-64],16,64,32,128,"32,000",,"32,000",,32,"25,600",,"32,000",,,,,,8,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,255,800,"10,000",,,,,,,384,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D32as_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Genoa) [x86-64],32,128,32,256,"64,000",,"64,000",,32,"51,200",,"64,000",,,,,,8,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,510,"1,600","16,000",,,,,,,768,"1,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D48as_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Genoa) [x86-64],48,192,32,384,"96,000",,"96,000",,32,"76,800",,"80,000",,,,,,8,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,"1,020",2000,"24,000",,,,,,,"1,148",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D64as_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Genoa) [x86-64],64,256,32,512,"128,000",,"128,000",,32,"80,000",,"80,000",,,,,,8,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,"1,020",2000,"32,000",,,,,,,"1,200",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D96as_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Genoa) [x86-64],96,384,32,768,"192,000",,"192,000",,32,"80,000",,"80,000",,,,,,8,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,"1,020",2000,"40,000",,,,,,,"1,200",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D2as_v5,AMD EPYC 7763v (Milan) [x86-64] AMD EPYC 9004 (Genoa) [x86-64],2,8,,,,,,,4,"3,750",,"10,000",,,,,,2,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Not Supported,,Supported,,,,,,,"12,500",,,,,,,82,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D4as_v5,AMD EPYC 7763v (Milan) [x86-64] AMD EPYC 9004 (Genoa) [x86-64],4,16,,,,,,,8,"6,400",,"20,000",,,,,,2,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Not Supported,,Supported,,,,,,,"12,500",,,,,,,144,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D8as_v5,AMD EPYC 7763v (Milan) [x86-64] AMD EPYC 9004 (Genoa) [x86-64],8,32,,,,,,,16,"12,800",,"20,000",,,,,,4,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Not Supported,,Supported,,,,,,,"12,500",,,,,,,200,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D16as_v5,AMD EPYC 7763v (Milan) [x86-64] AMD EPYC 9004 (Genoa) [x86-64],16,64,,,,,,,32,"25,600",,"40,000",,,,,,8,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Not Supported,,Supported,,,,,,,"12,500",,,,,,,384,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D32as_v5,AMD EPYC 7763v (Milan) [x86-64] AMD EPYC 9004 (Genoa) [x86-64],32,128,,,,,,,32,"51,200",,"80,000",,,,,,8,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Not Supported,,Supported,,,,,,,"16,000",,,,,,,768,"1,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D48as_v5,AMD EPYC 7763v (Milan) [x86-64] AMD EPYC 9004 (Genoa) [x86-64],48,192,,,,,,,32,"76,800",,"80,000",,,,,,8,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Not Supported,,Supported,,,,,,,"24,000",,,,,,,"1,152",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D64as_v5,AMD EPYC 7763v (Milan) [x86-64] AMD EPYC 9004 (Genoa) [x86-64],64,256,,,,,,,32,"80,000",,"80,000",,,,,,8,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Not Supported,,Supported,,,,,,,"32,000",,,,,,,"1,200",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D96as_v5,AMD EPYC 7763v (Milan) [x86-64] AMD EPYC 9004 (Genoa) [x86-64],96,384,,,,,,,32,"80,000",,"80,000",,,,,,8,,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Not Supported,,Supported,,,,,,,"40,000",,,,,,,"1,600",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D2as_v6,AMD EPYC 9004 (Genoa) [x86-64],2,8,,,,,,,4,"4,000",,"20,000",,"4,000",,"20,000",,2,,,,,,,,,,,,,,,,,,"12,500",,,,,,,90,"1,250",,,,,90,"1,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D4as_v6,AMD EPYC 9004 (Genoa) [x86-64],4,16,,,,,,,8,"7,600",,"20,000",,"7,600",,"20,000",,2,,,,,,,,,,,,,,,,,,"12,500",,,,,,,180,"1,250",,,,,180,"1,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D8as_v6,AMD EPYC 9004 (Genoa) [x86-64],8,32,,,,,,,16,"15,200",,"20,000",,"15,200",,"20,000",,4,,,,,,,,,,,,,,,,,,"12,500",,,,,,,360,"1,250",,,,,360,"1,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D16as_v6,AMD EPYC 9004 (Genoa) [x86-64],16,64,,,,,,,32,"30,400",,"40,000",,"30,400",,"40,000",,8,,,,,,,,,,,,,,,,,,"16,000",,,,,,,720,"1,250",,,,,720,"1,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D32as_v6,AMD EPYC 9004 (Genoa) [x86-64],32,128,,,,,,,32,"57,600",,"80,000",,"57,600",,"80,000",,8,,,,,,,,,,,,,,,,,,"20,000",,,,,,,"1,440","1,700",,,,,"1,440","1,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D48as_v6,AMD EPYC 9004 (Genoa) [x86-64],48,192,,,,,,,32,"86,400",,"90,000",,"86,400",,"90,000",,8,,,,,,,,,,,,,,,,,,"28,000",,,,,,,"2,160","2,550",,,,,"2,160","2,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D64as_v6,AMD EPYC 9004 (Genoa) [x86-64],64,256,,,,,,,32,"115,200",,"120,000",,"115,200",,"120,000",,8,,,,,,,,,,,,,,,,,,"36,000",,,,,,,"2,880","3,400",,,,,"2,880","3,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D96as_v6,AMD EPYC 9004 (Genoa) [x86-64],96,384,,,,,,,32,"175,000",,"175,000",,"175,000",,"175,000",,8,,,,,,,,,,,,,,,,,,"40,000",,,,,,,"4,320","5,090",,,,,"4,320","5,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D2as_v7,AMD EPYC 9005 (Turin) [x86-64],2,8,,,,,,,10,"4,000",,"44,000",,"4,400",,"48,400",,2,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"16,000",,,,,,,118,"1,412",,,,,136,"1,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D4as_v7,AMD EPYC 9005 (Turin) [x86-64],4,16,,,,,,,12,"8,000",,"47,200",,"8,800",,"52,083",,2,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"16,000",,,,,,,234,"1,412",,,,,273,"1,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D8as_v7,AMD EPYC 9005 (Turin) [x86-64],8,32,,,,,,,26,"16,000",,"47,200",,"17,600",,"52,083",,4,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"25,000",,,,,,,468,"1,412",,,,,547,"1,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D16as_v7,AMD EPYC 9005 (Turin) [x86-64],16,64,,,,,,,48,"32,000",,"72,700",,"35,200",,"80,000",,8,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"25,000",,,,,,,936,"1,412",,,,,"1,095","1,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D32as_v7,AMD EPYC 9005 (Turin) [x86-64],32,128,,,,,,,64,"64,000",,"94,400",,"70,400",,"104,167",,8,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"25,000",,,,,,,"1,872",1916,,,,,"2,191","2,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D48as_v7,AMD EPYC 9005 (Turin) [x86-64],48,192,,,,,,,64,"96,000",,"99,000",,"105,600",,"108,900",,8,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"35,000",,,,,,,"2,808","2,874",,,,,"3,291","3,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D64as_v7,AMD EPYC 9005 (Turin) [x86-64],64,256,,,,,,,64,"128,000",,"132,000",,"140,800",,"145,200",,8,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"45,000",,,,,,,"3,744","3,832",,,,,"4,382","4,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D96as_v7,AMD EPYC 9005 (Turin) [x86-64],96,384,,,,,,,64,"192,000",,"192,500",,"211,200",,"211,750",,8,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"70,000",,,,,,,"5,663","5,749",,,,,"6,573","6,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D128as_v7,AMD EPYC 9005 (Turin) [x86-64],128,512,,,,,,,64,"204,800",,"225,280",,"281,600",,"310,886",,15,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"75,000",,,,,,,"7,488","7,663",,,,,"8,764","8,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D160as_v7,AMD EPYC 9005 (Turin) [x86-64],160,640,,,,,,,64,"212,000",,"242,640",,"310,000",,"355,443",,15,,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Not Supported,,Supported,,,,,,,"80,000",,,,,,,"10,344","11,410",,,,,"10,356","11,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D2a_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Milan) [x86-64],2,8,1,50,"3,000",,,,4,"3,200",,"4,000",,,,,,2,,Not Supported,Not Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,46,23,2000,,,,,,,48,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D4a_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Milan) [x86-64],4,16,1,100,"6,000",,,,8,"6,400",,"8,000",,,,,,2,,Not Supported,Not Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,93,46,"4,000",,,,,,,96,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D8a_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Milan) [x86-64],8,32,1,200,"12,000",,,,16,"12,800",,"16,000",,,,,,4,,Not Supported,Not Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,187,93,"8,000",,,,,,,192,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_D16a_v4,AMD EPYC 7452 (Rome) [x86-64] AMD EPYC 7763v (Milan) [x86-64],16,64,1,400,"24,000",,,,32,"25,600",,"32,000",,,,,,8,,Not Supported,Not Supported,Supported,Supported,Supported,Supported,Supported,Supported,,Not Supported,,,,,375,187,"10,000",,,,,,,384,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
